,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
73,1.0,31.0,0.0,2.0,1.0,10.0,9.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2015-03-15
74,1.0,24.0,3.0,0.0,5.0,2.0,3.0,7.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2015-03-16
75,7.0,24.0,2.0,2.0,1.0,4.0,7.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-03-17
76,1.0,22.0,4.0,0.0,1.0,5.0,6.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2015-03-18
77,1.0,24.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2015-03-19
78,1.0,21.0,4.0,0.0,0.0,7.0,5.0,2.0,2.0,2.0,4.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,2015-03-20
79,1.0,17.0,8.0,0.0,1.0,5.0,15.0,6.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,2015-03-21
80,0.0,21.0,1.0,1.0,0.0,5.0,12.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,9.0,1.0,0.0,3.0,0.0,5.0,0.0,2015-03-22
81,1.0,16.0,4.0,0.0,0.0,7.0,14.0,4.0,0.0,4.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-03-23
82,6.0,28.0,2.0,0.0,1.0,2.0,9.0,4.0,1.0,2.0,3.0,3.0,2.0,0.0,6.0,1.0,0.0,2.0,0.0,3.0,0.0,2015-03-24
